status,latitude,longitude,device_configuration,data_type,time_of_day,weather,obstructions,obstructions_other,notes,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course,created_at,updated_at
External GPS,27.93336,-82.7656949,Nexus 7 w/ Dual XGPS-150,Point,9:00,Clear,Small Buildings,,,12.8,3.900000095,,,196,2014-06-25 13:00:37 UTC,2014-06-25 13:00:37 UTC
External GPS,27.933333,-82.765696,Nexus 7 w/ Dual XGPS-150,Point,9:01,Clear,Small Buildings,,,13.7,3.900000095,,,191,2014-06-25 13:01:31 UTC,2014-06-25 13:01:31 UTC
External GPS,27.933318,-82.76567,Nexus 7 w/ Dual XGPS-150,Point,9:01,Clear,Small Buildings,,,14.8,3.900000095,,,191,2014-06-25 13:01:45 UTC,2014-06-25 13:01:52 UTC
External GPS,27.933326,-82.765646,Nexus 7 w/ Dual XGPS-150,Point,9:02,Clear,Small Buildings,,,17.8,3.900000095,,,191,2014-06-25 13:02:07 UTC,2014-06-25 13:02:07 UTC
External GPS,27.933326,-82.765655,Nexus 7 w/ Dual XGPS-150,Point,9:02,Clear,Small Buildings,,,18.2,3.900000095,,,191,2014-06-25 13:02:26 UTC,2014-06-25 13:02:26 UTC
External GPS,27.933668,-82.765775,Nexus 7 w/ Dual XGPS-150,Point,9:05,Clear,,,,13.6,3.900000095,,,278,2014-06-25 13:05:30 UTC,2014-06-25 13:05:57 UTC
External GPS,27.93367,-82.765778,Nexus 7 w/ Dual XGPS-150,Point,9:06,Clear,,,,12.4,3.900000095,,,278,2014-06-25 13:06:14 UTC,2014-06-25 13:06:14 UTC
External GPS,27.933668,-82.76578,Nexus 7 w/ Dual XGPS-150,Point,9:06,Clear,,,,12.6,3.900000095,,,278,2014-06-25 13:06:44 UTC,2014-06-25 13:06:44 UTC
External GPS,27.93367,-82.765781,Nexus 7 w/ Dual XGPS-150,Point,9:07,Clear,,,,12.7,3.900000095,,,278,2014-06-25 13:07:08 UTC,2014-06-25 13:07:08 UTC
External GPS,27.93367,-82.7657849,Nexus 7 w/ Dual XGPS-150,Point,9:07,Clear,,,,12.6,3.900000095,,,278,2014-06-25 13:07:34 UTC,2014-06-25 13:07:34 UTC
External GPS,27.933676,-82.764463,Nexus 7 w/ Dual XGPS-150,Point,9:10,Light Clouds,,,,14.4,3.900000095,,,38,2014-06-25 13:10:13 UTC,2014-06-25 13:10:13 UTC
External GPS,27.933676,-82.764461,Nexus 7 w/ Dual XGPS-150,Point,9:10,Light Clouds,,,,13.9,3.900000095,,,38,2014-06-25 13:10:43 UTC,2014-06-25 13:10:43 UTC
External GPS,27.933678,-82.76446,Nexus 7 w/ Dual XGPS-150,Point,9:10,Light Clouds,,,,13.6,3.900000095,,,38,2014-06-25 13:11:01 UTC,2014-06-25 13:11:01 UTC
External GPS,27.93368,-82.76446,Nexus 7 w/ Dual XGPS-150,Point,9:11,Light Clouds,,,,13.8,3.900000095,,,38,2014-06-25 13:11:13 UTC,2014-06-25 13:11:13 UTC
External GPS,27.933681,-82.764458,Nexus 7 w/ Dual XGPS-150,Point,9:11,Light Clouds,,,,13.8,3.900000095,,,38,2014-06-25 13:11:26 UTC,2014-06-25 13:11:26 UTC
External GPS,27.93296,-82.7642879,Nexus 7 w/ Dual XGPS-150,Point,9:15,Light Clouds,"Light Trees,Small Buildings",,,5.4,3.900000095,,,57,2014-06-25 13:15:18 UTC,2014-06-25 13:15:18 UTC
External GPS,27.932953,-82.764285,Nexus 7 w/ Dual XGPS-150,Point,9:15,Light Clouds,"Light Trees,Small Buildings",,,5.5,3.900000095,,,57,2014-06-25 13:15:33 UTC,2014-06-25 13:15:33 UTC
External GPS,27.932945,-82.764281,Nexus 7 w/ Dual XGPS-150,Point,9:15,Light Clouds,"Light Trees,Small Buildings",,,5.4,3.900000095,,,57,2014-06-25 13:15:49 UTC,2014-06-25 13:15:49 UTC
External GPS,27.932943,-82.76428,Nexus 7 w/ Dual XGPS-150,Point,9:15,Light Clouds,"Light Trees,Small Buildings",,,5.6,3.900000095,,,57,2014-06-25 13:16:06 UTC,2014-06-25 13:16:06 UTC
External GPS,27.932938,-82.764276,Nexus 7 w/ Dual XGPS-150,Point,9:16,Light Clouds,"Light Trees,Small Buildings",,,6.8,3.900000095,,,57,2014-06-25 13:16:29 UTC,2014-06-25 13:16:29 UTC
External GPS,27.932655,-82.7642599,Nexus 7 w/ Dual XGPS-150,Point,9:22,Light Clouds,Dense Trees,,,11.4,3.900000095,,,203,2014-06-25 13:22:23 UTC,2014-06-25 13:22:23 UTC
External GPS,27.932651,-82.764258,Nexus 7 w/ Dual XGPS-150,Point,9:22,Light Clouds,Dense Trees,,,11.2,3.900000095,,,203,2014-06-25 13:22:36 UTC,2014-06-25 13:22:36 UTC
External GPS,27.93265,-82.764258,Nexus 7 w/ Dual XGPS-150,Point,9:22,Light Clouds,Dense Trees,,,11.3,3.900000095,,,203,2014-06-25 13:22:52 UTC,2014-06-25 13:22:52 UTC
External GPS,27.932646,-82.7642599,Nexus 7 w/ Dual XGPS-150,Point,9:23,Light Clouds,Dense Trees,,,11.2,3.900000095,,,203,2014-06-25 13:23:01 UTC,2014-06-25 13:23:22 UTC
External GPS,27.932645,-82.764266,Nexus 7 w/ Dual XGPS-150,Point,9:23,Light Clouds,Dense Trees,,,10.9,3.900000095,,,203,2014-06-25 13:23:38 UTC,2014-06-25 13:23:38 UTC
